sheet_name,sheet_variant,sheet_sku
Yoga Mats-Lotus,Teal / Superior,YO-M-CT-L-S-T
Yoga Mats-Lotus,Orange / Superior,YO-M-CT-L-S-O
Yoga Mats-Lotus,Yellow / Superior,YO-M-CT-L-S-Y
Yoga Mats-Lotus,Pink / Superior,YO-M-CT-L-S-P
Macrame Yoga Mat Straps,Green,YO-MMS-G
Macrame Yoga Mat Straps,Brown,YO-MMS-BR
Macrame Yoga Mat Straps,Dark Grey,YO-MMS-DG
Macrame Yoga Mat Straps,Yellow,YO-MMS-O
Macrame Yoga Mat Straps,Navy Blue,YO-MMS-NB
Macrame Yoga Mat Straps,Rose,YO-MMS-R
Macrame Yoga Mat Straps,Rouge Pink,YO-MMS-RP
Macrame Yoga Mat Straps,Sage,YO-MMS-S
Round Yoga Bolster,Dark Grey,YO-BR-RD-DG
Round Yoga Bolster,Grey,YO-BR-RD-GY
Round Yoga Bolster,Maroon,YO-BR-RD-M
Round Yoga Bolster,Navy Blue,YO-BR-RD-NB
Round Yoga Bolster,Orange,YO-BR-RD-O
Round Yoga Bolster,Rose,YO-BR-RD-R
Round Yoga Bolster,sage,YO-BR-RD-S
Round Yoga Bolster,Rouge Pink,YO-BR-RD-RP
Rectangular Yoga Bolster,Dark Grey,YO-BR-RT-DG
Rectangular Yoga Bolster,Grey,YO-BR-RT-GY
Rectangular Yoga Bolster,Maroon,YO-BR-RT-M
Rectangular Yoga Bolster,Navy Blue,YO-BR-RT-NB
Rectangular Yoga Bolster,Rose,YO-BR-RT-R
Rectangular Yoga Bolster,Rouge Pink,YO-BR-RT-RP
Eye Shaped - Eye Pillows,Rose,YO-EP-R
Eye Shaped - Eye Pillows,Dark Grey,YO-EP-DG
Eye Shaped - Eye Pillows,Grey,YO-EP-GY
Eye Shaped - Eye Pillows,Navy Blue,YO-EP-NB
Eye Shaped - Eye Pillows,Sage,YO-EP-S
Yoga Belt/Strap,Sky Blue,YO-BL-SB
Yoga Belt/Strap,Beige,YO-BL-BE
Yoga Belt/Strap,Green,YO-BL-G
Yoga Belt/Strap,Navy Blue,YO-BL-NB
