excel_sku,excel_name,candidates
Mi-TB-E-3,"Tingsha Bells - Etched-3""","[(83.63636363636364, 'Tingsha Bell', 'woo-var-44932', ['Golden', 'Small']), (83.63636363636364, 'Tingsha Bell', 'woo-var-44933', ['Standard', 'Golden']), (83.63636363636364, 'Tingsha Bell', 'woo-var-44934', ['Dark', 'Small'])]"
MI-SD-P-50,Shamanic Drums Plain - 50 Cm,"[(82.5, 'Shamanic Drum', 'woo-var-48063', ['30 cms', 'Tree of Life']), (82.5, 'Shamanic Drum', 'woo-var-48064', ['40 cms', 'Tree of Life']), (82.5, 'Shamanic Drum', 'woo-var-48065', ['45 cms', 'Tree of Life'])]"
"MI-CP-6""","Crystal Pyramid 6""","[(92.05882352941177, 'Crystal Pyramid', 'woo-var-48694', ['6 in']), (92.05882352941177, 'Crystal Pyramid', 'woo-var-48695', ['8 in'])]"
MI-SB-7C Set-SM-P,Singing Bowls - 7 Chakras set Small - Polished,"[(72.97619047619048, 'Bendo Shaker', 'woo-var-47922', ['Small']), (72.97619047619048, 'Kenari Chimes - Small & Large', 'woo-var-46430', ['Small']), (72.97619047619048, 'Pulse Tubes', 'woo-var-48762', ['Small'])]"
MI-SB-7C Set-SM-M,Singing Bowls - 7 Chakras set Small - Matte,"[(73.2051282051282, 'Bendo Shaker', 'woo-var-47922', ['Small']), (73.2051282051282, 'Kenari Chimes - Small & Large', 'woo-var-46430', ['Small']), (73.2051282051282, 'Pulse Tubes', 'woo-var-48762', ['Small'])]"
MI-SB-7C Set-SM-FM,Singing Bowls- 7 Chakras Set Small - Full Moon,"[(72.90697674418604, 'Bendo Shaker', 'woo-var-47922', ['Small']), (72.90697674418604, 'Kenari Chimes - Small & Large', 'woo-var-46430', ['Small']), (72.90697674418604, 'Pulse Tubes', 'woo-var-48762', ['Small'])]"
MI-SB-7C Set-L-P,Singing Bowls - 7 Chakras set Large - Polished,"[(72.97619047619048, 'Bendo Shaker', 'woo-var-47923', ['Large']), (72.97619047619048, 'Kenari Chimes - Small & Large', 'woo-var-46431', ['Large']), (72.97619047619048, 'Crystal Bowl Bag', 'woo-var-47084', ['Large'])]"
SB-M-S-SH-WT-S,Mallets Striking Streight head White Small,"[(72.97619047619048, 'Bendo Shaker', 'woo-var-47922', ['Small']), (72.97619047619048, 'Kenari Chimes - Small & Large', 'woo-var-46430', ['Small']), (72.97619047619048, 'Pulse Tubes', 'woo-var-48762', ['Small'])]"
SB-M-S-SH-WT-L,Mallets Striking Streight head White Large,"[(72.97619047619048, 'Bendo Shaker', 'woo-var-47923', ['Large']), (72.97619047619048, 'Kenari Chimes - Small & Large', 'woo-var-46431', ['Large']), (72.97619047619048, 'Crystal Bowl Bag', 'woo-var-47084', ['Large'])]"
SB-M-S-SH-WT-EL,Mallets Striking Streight head White Extra Large,"[(75.72916666666667, 'Tibetan Buddhist Bell', 'woo-var-47410', ['Extra Large']), (72.60416666666667, 'Bendo Shaker', 'woo-var-47923', ['Large']), (72.60416666666667, 'Kenari Chimes - Small & Large', 'woo-var-46431', ['Large'])]"
SB-M-S-SH-WT-SL,Mallets Striking Streight head White Super Large,"[(72.60416666666667, 'Bendo Shaker', 'woo-var-47923', ['Large']), (72.60416666666667, 'Kenari Chimes - Small & Large', 'woo-var-46431', ['Large']), (72.60416666666667, 'Crystal Bowl Bag', 'woo-var-47084', ['Large'])]"
SB-M-S-SH-RD-S,Mallets Striking Streight head Red Small,"[(73.125, 'Bendo Shaker', 'woo-var-47922', ['Small']), (73.125, 'Kenari Chimes - Small & Large', 'woo-var-46430', ['Small']), (73.125, 'Pulse Tubes', 'woo-var-48762', ['Small'])]"
SB-M-S-SH-RD-L,Mallets Striking Streight head Red Large,"[(73.125, 'Bendo Shaker', 'woo-var-47923', ['Large']), (73.125, 'Kenari Chimes - Small & Large', 'woo-var-46431', ['Large']), (73.125, 'Crystal Bowl Bag', 'woo-var-47084', ['Large'])]"
