excel_sku,excel_name,current_db_sku,product_name,attrs,match_score,slug,variant_id,matched_norm
CB-7CP-H,7 chakras Copper With Handle,CB-7CP-B-1,7 Chakras Copper Water Bottles with Handle,[],100,7-chakras-copper-water-bottles-with-handle,3dba5364-4ba1-4261-9cb4-6497c09b9e0a,7 chakras copper water bottles with handle
MI-AS,Asalato Shaker,woo-var-46377,Asalato/Aslatau or Kashaka Shaker,[],100,asalato-aslatau-or-kashaka-shaker,d058e190-bbc5-42a8-8d95-b93a401457bb,asalato aslatau or kashaka shaker
MI-TWD,Spin/Twist Drum - Den Den Daiko,MI-TD-YY,Spin/Twist Drum or Den Den Daiko,[],100,spin-twist-drum-or-den-den-daiko,76022954-0bff-4933-bbe6-f14319f2735f,spin twist drum or den den daiko
Co-SB-R-H-TE,"The Three Singing Bowl Set - Root, Heart and Third Eye",woo-45327,"The Three Bowl Set - Root, Heart and Third Eye",[],90,the-three-bowl-set-root-heart-and-third-eye,67a57d38-764f-48b5-b87b-f4a2f5001860,the three bowl set root heart and third eye
MI-XP-W-8,Wooden Xylophone - 8 Keys,woo-42340,8 Keys Wooden Xylophone,[],100,8-keys-wooden-xylophone,dd948ba9-bb7c-4aaf-a33f-49ef3aa4812a,8 keys wooden xylophone
MI-TF-SS,Tuning Forks -Solfeggio Set,woo-var-48203,Tuning Forks Solfeggio Set,[],100,tuning-forks-solfeggio-set,7f157d8f-3a42-4794-a7c5-d9e879bd0205,tuning forks solfeggio set
Mi-BT,Box Tanpura,woo-var-47882,Box Tanpura,[],100,box-tanpura,484559bf-10be-4944-acac-5d0f12a1f677,box tanpura
CC,Conscious Cards,woo-45533,Conscious Cards,[],100,conscious-cards,14ece29e-3f55-4248-a3ec-c99ed557f2d8,conscious cards
Mi-BF,Bird Flute,woo-var-45871,Bird Flute,[],100,bird-flute,3f603854-5fe2-40fa-b4b7-bc3342ec7582,bird flute
