sheet_name,sheet_variant,sheet_sku,db_name,db_variant,db_sku
Copper Bottle Gift Set - 7 Chakra,Vintage,CB-7C-V-2G-SET,Copper Bottle Gift Set - 7 Chakra,Vintage,CB-7C-V-2G-SET
7 Chakras Mystical Incense Sticks Set,7 Chakra Set,IS-7C-SET,7 Chakras Mystical Incense Sticks Set,7 Chakra Set,IS-7C-SET
7 Chakras Mystical Incense Sticks Set,7 Chakra Set with Stand,IS-7C-SET-S,7 Chakras Mystical Incense Sticks Set,7 Chakra Set with Stand,IS-7C-SET-S
7 Chakras Mystical Incense Sticks Set,Pure Citronella,IS-CT,7 Chakras Mystical Incense Sticks Set,Pure Citronella,IS-CT
7 Chakras Mystical Incense Sticks Set,Pure Eucalyptus,IS-EU,7 Chakras Mystical Incense Sticks Set,Pure Eucalyptus,IS-EU
7 Chakras Mystical Incense Sticks Set,Pure Frankincense,IS-FI,7 Chakras Mystical Incense Sticks Set,Pure Frankincense,IS-FI
7 Chakras Mystical Incense Sticks Set,Pure Lavender,IS-LV,7 Chakras Mystical Incense Sticks Set,Pure Lavender,IS-LV
7 Chakras Mystical Incense Sticks Set,Pure Musk,IS-MU,7 Chakras Mystical Incense Sticks Set,Pure Musk,IS-MU
7 Chakras Mystical Incense Sticks Set,Pure Rose,IS-R,7 Chakras Mystical Incense Sticks Set,Pure Rose,IS-R
7 Chakras Mystical Incense Sticks Set,Pure Sandalwood,IS-SW,7 Chakras Mystical Incense Sticks Set,Pure Sandalwood,IS-SW
7 Chakras Yoga Mats,Moderate / Green,YO-M-CT-7C-M-G,7 Chakras Yoga Mats,Green / Moderate,YO-M-CT-7C-M-G
7 Chakras Yoga Mats,Moderate / Orange,YO-M-CT-7C-M-O,7 Chakras Yoga Mats,Orange / Moderate,YO-M-CT-7C-M-O
7 Chakras Yoga Mats,Moderate / Blue,YO-M-CT-7C-M-B,7 Chakras Yoga Mats,Blue / Moderate,YO-M-CT-7C-M-B
7 Chakras Yoga Mats,Moderate / Pink,YO-M-CT-7C-M-P,7 Chakras Yoga Mats,Pink / Moderate,YO-M-CT-7C-M-P
7 Chakras Yoga Mats,Teal/ Superior,YO-M-CT-7C-S-T,7 Chakras Yoga Mats,Teal / Superior,YO-M-CT-7C-S-T
7 Chakras Yoga Mats,Orange / Superior,YO-M-CT-7C-S-O,7 Chakras Yoga Mats,Orange / Superior,YO-M-CT-7C-S-O
7 Chakras Yoga Mats,Yellow / Superior,YO-M-CT-7C-S-Y,7 Chakras Yoga Mats,Yellow / Superior,YO-M-CT-7C-S-Y
7 Chakras Yoga Mats,Pink / Superior,YO-M-CT-7C-S-P,7 Chakras Yoga Mats,Pink / Superior,YO-M-CT-7C-S-P
Plain Yoga Mats,Moderate / Green,YO-M-CT-M-G,Plain Yoga Mats,Green / Moderate,YO-M-CT-M-G
Plain Yoga Mats,Moderate / Orange,YO-M-CT-M-O,Plain Yoga Mats,Orange / Moderate,YO-M-CT-M-O
Plain Yoga Mats,Moderate / Blue,YO-M-CT-M-B,Plain Yoga Mats,Blue / Moderate,YO-M-CT-M-B
Plain Yoga Mats,Moderate / Pink,YO-M-CT-M-P,Plain Yoga Mats,Pink / Moderate,YO-M-CT-M-P
Plain Yoga Mats,Teal / Superior,YO-M-CT-S-T,Plain Yoga Mats,Superior / Teal,YO-M-CT-S-T
Plain Yoga Mats,Orange / Superior,YO-M-CT-S-O,Plain Yoga Mats,Superior / Orange,YO-M-CT-S-O
Plain Yoga Mats,Yellow / Superior,YO-M-CT-S-Y,Plain Yoga Mats,Superior / Yellow,YO-M-CT-S-Y
Plain Yoga Mats,Pink / Superior,YO-M-CT-S-P,Plain Yoga Mats,Superior / Pink,YO-M-CT-S-P
Yoga Mats-Lotus,Moderate / Green,YO-M-CT-L-M-G,Yoga Mats-Lotus,Moderate / Green,YO-M-CT-L-M-G
Yoga Mats-Lotus,Moderate / Orange,YO-M-CT-L-M-O,Yoga Mats-Lotus,Moderate / Orange,YO-M-CT-L-M-O
Yoga Mats-Lotus,Moderate / Blue,YO-M-CT-L-M-B,Yoga Mats-Lotus,Moderate / Blue,YO-M-CT-L-M-B
Yoga Mats-Lotus,Moderate / Pink,YO-M-CT-L-M-P,Yoga Mats-Lotus,Moderate / Pink,YO-M-CT-L-M-P
Yoga Mats-Lotus,Teal / Superior,YO-M-CT-L-S-T,Yoga Mats-Lotus,Teal / Superior,YO-M-CT-L-S-T
Yoga Mats-Lotus,Orange / Superior,YO-M-CT-L-S-O,Yoga Mats-Lotus,Orange / Superior,YO-M-CT-L-S-O
Yoga Mats-Lotus,Yellow / Superior,YO-M-CT-L-S-Y,Yoga Mats-Lotus,Yellow / Superior,YO-M-CT-L-S-Y
Yoga Mats-Lotus,Pink / Superior,YO-M-CT-L-S-P,Yoga Mats-Lotus,Pink / Superior,YO-M-CT-L-S-P
Macrame Yoga Mat Straps,Green,YO-MMS-G,Macrame Yoga Mat Straps,Green,YO-MMS-G
Macrame Yoga Mat Straps,Brown,YO-MMS-BR,Macrame Yoga Mat Straps,Brown,YO-MMS-BR
Macrame Yoga Mat Straps,Dark Grey,YO-MMS-DG,Macrame Yoga Mat Straps,Dark Grey,YO-MMS-DG
Macrame Yoga Mat Straps,Navy Blue,YO-MMS-NB,Macrame Yoga Mat Straps,Navy Blue,YO-MMS-NB
Macrame Yoga Mat Straps,Rose,YO-MMS-R,Macrame Yoga Mat Straps,Rose,YO-MMS-R
Macrame Yoga Mat Straps,Rouge Pink,YO-MMS-RP,Macrame Yoga Mat Straps,Rouge Pink,YO-MMS-RP
Macrame Yoga Mat Straps,Sage,YO-MMS-S,Macrame Yoga Mat Straps,Sage,YO-MMS-S
Round Yoga Bolster,Dark Grey,YO-BR-RD-DG,Round Yoga Bolster,Dark Grey,YO-BR-RD-DG
Round Yoga Bolster,Grey,YO-BR-RD-GY,Round Yoga Bolster,Grey,YO-BR-RD-GY
Round Yoga Bolster,Maroon,YO-BR-RD-M,Round Yoga Bolster,Maroon,YO-BR-RD-M
Round Yoga Bolster,Navy Blue,YO-BR-RD-NB,Round Yoga Bolster,Navy Blue,YO-BR-RD-NB
Round Yoga Bolster,Orange,YO-BR-RD-O,Round Yoga Bolster,Orange,YO-BR-RD-O
Round Yoga Bolster,Rose,YO-BR-RD-R,Round Yoga Bolster,Rose,YO-BR-RD-R
Round Yoga Bolster,sage,YO-BR-RD-S,Round Yoga Bolster,Sage,YO-BR-RD-S
Rectangular Yoga Bolster,Dark Grey,YO-BR-RT-DG,Rectangular Yoga Bolster,Dark Grey,YO-BR-RT-DG
Rectangular Yoga Bolster,Grey,YO-BR-RT-GY,Rectangular Yoga Bolster,Grey,YO-BR-RT-GY
Rectangular Yoga Bolster,Maroon,YO-BR-RT-M,Rectangular Yoga Bolster,Maroon,YO-BR-RT-M
Rectangular Yoga Bolster,Navy Blue,YO-BR-RT-NB,Rectangular Yoga Bolster,Navy Blue,YO-BR-RT-NB
Rectangular Yoga Bolster,Rose,YO-BR-RT-R,Rectangular Yoga Bolster,Rose,YO-BR-RT-R
