slug,name,woo_id,status,product_type,hsn_code,tax_class,desc_len,short_len,video_url,audio_url,variant_count,product_images,variant_images,accordion_count,shipping_rate_rows,article_slug_count,relation_count,catalog_hidden
shruti-box,Shruti Box,44970,ACTIVE,VARIABLE,"",standard,343,343,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2025/03/Shruthi-Harmonium-2-audio1.mp3,3,9,0,7,12,0,4,false
singing-bowl-bags,Singing Bowl Bags,45127,ACTIVE,VARIABLE,"",gst18,476,476,"","",3,1,3,7,12,0,4,false
singing-bowl-set-g-a-b,"Singing Bowl Set – G, A, B",49832,DRAFT,SIMPLE,"",standard,175,1983,"","",1,1,0,7,0,0,0,false
singing-bowls-silk-ring-cushion-accessories,Singing Bowls Silk Ring Cushion Accessories,6988,ACTIVE,VARIABLE,"",gst-5,0,331,"","",66,13,63,7,264,0,0,false
singing-bowls-with-sacred-mantra-printed,Singing Bowls with Sacred Mantra Printed,6807,ACTIVE,VARIABLE,"",gst-5,0,603,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/05/Machine-Made-3.5-inch.mp3,15,1,15,7,60,0,3,false
singing-bowl-with-handle,Singing Bowl with Handle,48931,ACTIVE,SIMPLE,"",standard,319,710,"","",1,1,0,7,4,0,0,false
singing-bowl-with-mantra-rustic-blue-colour,Singing Bowl with Mantra - Rustic Blue Colour,6861,ACTIVE,VARIABLE,"",gst-5,0,603,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2023/02/Rustic-Blue-6-inch.mp3,2,1,2,7,8,0,5,false
solar-bell,Solar Bell,49816,DRAFT,SIMPLE,"",gst18,148,1080,"","",1,1,0,7,0,0,0,false
spin-twist-drum-or-den-den-daiko,Spin/Twist Drum or Den Den Daiko,7417,ACTIVE,VARIABLE,"",gst12,0,693,"","",2,1,2,7,8,0,4,false
spiral-snake-didgeridoo,Spiral/Snake Didgeridoo,7324,ACTIVE,VARIABLE,"",gst-5,0,1186,"","",2,4,2,7,8,0,4,false
