sku,sheet_name,sheet_variant,sheet_invoiced,ls_product_slug,ls_sale,ls_mrp,ls_status,price_match
Co-Me-C-Z-Zn-MB-E-L,Zafu & Zabuton Meditation Cushion Combo - Lotus Embroidery,Misty Blue,1545.0,zafu-zabuton-meditation-cushion-combo-lotus-embroidery,2995.0,3500.0,ACTIVE,False
Me-C-RZ-R-E-L,Zafu Meditation Cushion Lotus - Embroidery Filled with Cotton,Rose,524.0,zafu-meditation-cushion-lotus-embroidery-filled-with-cotton,1385.0,1675.0,ACTIVE,False
Me-C-RZ-LG-E-L,Zafu Meditation Cushion Lotus - Embroidery Filled with Cotton,Light Grey,524.0,zafu-meditation-cushion-lotus-embroidery-filled-with-cotton,1385.0,1675.0,ACTIVE,False
Me-C-RZ-LR-E-L,Zafu Meditation Cushion Lotus - Embroidery Filled with Cotton,Lavender,524.0,zafu-meditation-cushion-lotus-embroidery-filled-with-cotton,1385.0,1675.0,ACTIVE,False
Me-C-RZ-MB-E-L,Zafu Meditation Cushion Lotus - Embroidery Filled with Cotton,Misty Blue,524.0,zafu-meditation-cushion-lotus-embroidery-filled-with-cotton,1385.0,1675.0,ACTIVE,False
Me-C-RZ-S-E-L,Zafu Meditation Cushion Lotus - Embroidery Filled with Cotton,Sage,524.0,zafu-meditation-cushion-lotus-embroidery-filled-with-cotton,1385.0,1675.0,ACTIVE,False
Me-Z-R-C-DG,Zafu Meditation Cushion Plain Filled with Cotton,Dark Grey,465.0,zafu-meditation-cushion-plain-filled-with-cotton,1185.0,1415.0,ACTIVE,False
Me-Z-R-C-GY,Zafu Meditation Cushion Plain Filled with Cotton,Grey,465.0,zafu-meditation-cushion-plain-filled-with-cotton,1185.0,1415.0,ACTIVE,False
Me-Z-R-C-NB,Zafu Meditation Cushion Plain Filled with Cotton,Navy Blue,465.0,zafu-meditation-cushion-plain-filled-with-cotton,1185.0,1415.0,ACTIVE,False
Me-Z-R-C-O,Zafu Meditation Cushion Plain Filled with Cotton,Orange,465.0,zafu-meditation-cushion-plain-filled-with-cotton,1185.0,1415.0,ACTIVE,False
Me-Z-R-C-RE,Zafu Meditation Cushion Plain Filled with Cotton,Rose,465.0,zafu-meditation-cushion-plain-filled-with-cotton,1185.0,1415.0,ACTIVE,False
Me-Z-R-C-SE,Zafu Meditation Cushion Plain Filled with Cotton,Sage,465.0,zafu-meditation-cushion-plain-filled-with-cotton,1185.0,1415.0,ACTIVE,False
Me-Z-R-LG,Zafu Meditation Cushion Plain Filled with Cotton,Light Grey,465.0,zafu-meditation-cushion-plain-filled-with-cotton,1185.0,1415.0,ACTIVE,False
Me-Z-R-LR,Zafu Meditation Cushion Plain Filled with Cotton,Lavender,465.0,zafu-meditation-cushion-plain-filled-with-cotton,1185.0,1415.0,ACTIVE,False
Me-Z-R-MB,Zafu Meditation Cushion Plain Filled with Cotton,Misty Blue,465.0,zafu-meditation-cushion-plain-filled-with-cotton,1185.0,1415.0,ACTIVE,False
Me-Z-R-MG,Zafu Meditation Cushion Plain Filled with Cotton,Magenta,465.0,zafu-meditation-cushion-plain-filled-with-cotton,1185.0,1415.0,ACTIVE,False
Me-CZ-W-RP,Crescent Zafu Cushion - Wide,Large / Rouge Pink,445.0,crescent-zafu-cushion-wide,1145.0,1420.0,ACTIVE,False
Me-CZ-W-L,Crescent Zafu Cushion - Wide,Lavender / Large,445.0,crescent-zafu-cushion-wide,1145.0,1420.0,ACTIVE,False
Me-CZ-W-MB,Crescent Zafu Cushion - Wide,Large / Misty Blue,445.0,crescent-zafu-cushion-wide,1145.0,1420.0,ACTIVE,False
Me-C-HZ-S-E-L,Hi-Zafu Meditation Cushion - Embroidered with Lotus,Sage,490.0,hi-zafu-meditation-cushion-embroidered-with-lotus,1485.0,1750.0,ACTIVE,False
Me-C-HZ-L-E-L,Hi-Zafu Meditation Cushion - Embroidered with Lotus,Lavender,490.0,hi-zafu-meditation-cushion-embroidered-with-lotus,1485.0,1750.0,ACTIVE,False
Me-C-HZ-LG-E-L,Hi-Zafu Meditation Cushion - Embroidered with Lotus,Light Grey,490.0,hi-zafu-meditation-cushion-embroidered-with-lotus,1485.0,1750.0,ACTIVE,False
Me-C-HZ-MB-E-L,Hi-Zafu Meditation Cushion - Embroidered with Lotus,Misty Blue,490.0,hi-zafu-meditation-cushion-embroidered-with-lotus,1485.0,1750.0,ACTIVE,False
Me-C-HZ-R-E-L,Hi-Zafu Meditation Cushion - Embroidered with Lotus,Rose,490.0,hi-zafu-meditation-cushion-embroidered-with-lotus,1485.0,1750.0,ACTIVE,False
Me-C-HZ-RB,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Royal Blue,445.0,hi-zafu-meditation-cushion-filled-with-buckwheat,1285.0,1540.0,ACTIVE,False
Me-C-HZ-DG,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Dark Grey,445.0,hi-zafu-meditation-cushion-filled-with-buckwheat,1285.0,1540.0,ACTIVE,False
Me-C-HZ-GY,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Grey,445.0,hi-zafu-meditation-cushion-filled-with-buckwheat,1285.0,1540.0,ACTIVE,False
Me-C-HZ-I,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Ivory,445.0,hi-zafu-meditation-cushion-filled-with-buckwheat,1285.0,1540.0,ACTIVE,False
Me-C-HZ-LG,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Light Grey,445.0,hi-zafu-meditation-cushion-filled-with-buckwheat,1285.0,1540.0,ACTIVE,False
Me-C-HZ-LR,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Lavender,445.0,hi-zafu-meditation-cushion-filled-with-buckwheat,1285.0,1540.0,ACTIVE,False
Me-C-HZ-M,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Maroon,445.0,hi-zafu-meditation-cushion-filled-with-buckwheat,1285.0,1540.0,ACTIVE,False
Me-C-HZ-MB,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Misty Blue,445.0,hi-zafu-meditation-cushion-filled-with-buckwheat,1285.0,1540.0,ACTIVE,False
Me-C-HZ-NB,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Navy Blue,445.0,hi-zafu-meditation-cushion-filled-with-buckwheat,1285.0,1540.0,ACTIVE,False
Me-C-HZ-R,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Rose,445.0,hi-zafu-meditation-cushion-filled-with-buckwheat,1285.0,1540.0,ACTIVE,False
Me-C-HZ-RD,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Red,445.0,hi-zafu-meditation-cushion-filled-with-buckwheat,1285.0,1540.0,ACTIVE,False
Me-C-HZ-SE,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Sage,445.0,hi-zafu-meditation-cushion-filled-with-buckwheat,1285.0,1540.0,ACTIVE,False
MI-KCS-PE,7-Key Kalimba Made from Coconut Shell - Painted & Plain,Plain Etched,300.0,7-key-kalimba-made-from-coconut-shell-painted-plain,950.0,1045.0,ACTIVE,False
MI-KCS-DP,7-Key Kalimba Made from Coconut Shell - Painted & Plain,Dot Painted,350.0,7-key-kalimba-made-from-coconut-shell-painted-plain,950.0,1045.0,ACTIVE,False
