product_slug,sku,is_default,status,mrp_paise,sale_paise,mrp_usd_cents,sale_usd_cents,video_url,variant_images,attrs,shipping_rows
7-chakras-copper-water-bottles,CB-7CV-B,false,ACTIVE,174900,134500,2360,2110,"",1,cleaning-brush=With Brush;size=1L;type=7 Chakras Vintage,4
7-chakras-copper-water-bottles,CB-7CV-B-.5,false,ACTIVE,129400,99500,1750,1560,"",1,cleaning-brush=With Brush;size=500ml;type=7 Chakras Vintage,4
7-chakras-copper-water-bottles-with-handle,CB-7CP-1,false,ACTIVE,161900,124500,2180,1950,"",1,cleaning-brush=Without Brush;size=1L;type=7 Chakras Plain,4
7-chakras-copper-water-bottles-with-handle,CB-7CP-B-1,true,ACTIVE,174900,134500,2360,2110,"",1,cleaning-brush=With Brush;size=1L;type=7 Chakras Plain,4
7-chakras-copper-water-bottles-with-handle,CB-7CV-1,false,ACTIVE,161900,124500,2180,1950,"",1,cleaning-brush=Without Brush;size=1L;type=7 Chakras Vintage,4
7-chakras-copper-water-bottles-with-handle,CB-7CV-B-1,false,ACTIVE,174900,134500,2360,2110,"",1,cleaning-brush=With Brush;size=1L;type=7 Chakras Vintage,4
7-chakras-gold-copper-bottle,REMOVED-0c1d9dba-woo-var-43493,false,INACTIVE,161900,124500,2180,1950,"",0,bottle-type=without-brush;size=1L,4
7-chakras-gold-copper-bottle,REMOVED-3b4a70c5-woo-var-5784,true,INACTIVE,120300,92500,1620,1450,"",0,bottle-type=without-brush;size=500ml,4
7-chakras-gold-copper-bottle,REMOVED-4b5ed50e-woo-var-5785,false,INACTIVE,129400,99500,1750,1560,"",0,bottle-type=with-brush;size=500ml,4
7-chakras-gold-copper-bottle,REMOVED-b79fa3da-woo-var-43494,false,INACTIVE,174900,134500,2360,2110,"",0,bottle-type=with-brush;size=1L,4
7-chakras-moderate-grip-yoga-mat,REMOVED-02a68bc8-woo-var-8475,false,INACTIVE,245000,179000,3140,2800,"",0,color=Blue;macrame-strap=Without Strap,4
7-chakras-moderate-grip-yoga-mat,REMOVED-03abb8f8-woo-var-8440,false,INACTIVE,305000,219000,3840,3430,"",0,color=Orange;macrame-strap=Orange,4
7-chakras-moderate-grip-yoga-mat,REMOVED-168143f8-woo-var-8429,false,INACTIVE,305000,219000,3840,3430,"",0,color=Pink;macrame-strap=Dark Grey,4
7-chakras-moderate-grip-yoga-mat,REMOVED-1ea58ac9-woo-var-8426,false,INACTIVE,305000,219000,3840,3430,"",0,color=Green;macrame-strap=White,4
7-chakras-moderate-grip-yoga-mat,REMOVED-1f013213-woo-var-8474,false,INACTIVE,245000,179000,3140,2800,"",0,color=Pink;macrame-strap=Without Strap,4
7-chakras-moderate-grip-yoga-mat,REMOVED-2d84841a-woo-var-8434,false,INACTIVE,305000,219000,3840,3430,"",0,color=Blue;macrame-strap=Dark Grey,4
7-chakras-moderate-grip-yoga-mat,REMOVED-2fe3d132-woo-var-8476,false,INACTIVE,245000,179000,3140,2800,"",0,color=Orange;macrame-strap=Without Strap,4
7-chakras-moderate-grip-yoga-mat,REMOVED-4008d8cb-woo-var-8439,false,INACTIVE,305000,219000,3840,3430,"",0,color=Orange;macrame-strap=Dark Grey,4
7-chakras-moderate-grip-yoga-mat,REMOVED-49f0e821-woo-var-8427,false,INACTIVE,305000,219000,3840,3430,"",0,color=Green;macrame-strap=Brown,4
7-chakras-moderate-grip-yoga-mat,REMOVED-4c960055-woo-var-8431,false,INACTIVE,305000,219000,3840,3430,"",0,color=Pink;macrame-strap=White,4
7-chakras-moderate-grip-yoga-mat,REMOVED-56fc4321-woo-var-8471,false,INACTIVE,245000,179000,3140,2800,"",0,color=Green;macrame-strap=Without Strap,4
7-chakras-moderate-grip-yoga-mat,REMOVED-63b376e8-woo-var-8430,false,INACTIVE,305000,219000,3840,3430,"",0,color=Pink;macrame-strap=Orange,4
7-chakras-moderate-grip-yoga-mat,REMOVED-688401ba-woo-var-8435,false,INACTIVE,305000,219000,3840,3430,"",0,color=Blue;macrame-strap=Orange,4
7-chakras-moderate-grip-yoga-mat,REMOVED-6f84be26-woo-var-8432,false,INACTIVE,305000,219000,3840,3430,"",0,color=Pink;macrame-strap=Brown,4
7-chakras-moderate-grip-yoga-mat,REMOVED-7e756bb0-woo-var-8437,false,INACTIVE,305000,219000,3840,3430,"",0,color=Blue;macrame-strap=Brown,4
7-chakras-moderate-grip-yoga-mat,REMOVED-83274688-woo-var-8442,false,INACTIVE,305000,219000,3840,3430,"",0,color=Orange;macrame-strap=Brown,4
7-chakras-moderate-grip-yoga-mat,REMOVED-83db4e6e-woo-var-8433,false,INACTIVE,305000,219000,3840,3430,"",0,color=Blue;macrame-strap=Green,4
7-chakras-moderate-grip-yoga-mat,REMOVED-989fbeb2-woo-var-8438,false,INACTIVE,305000,219000,3840,3430,"",0,color=Orange;macrame-strap=Green,4
