id,slug,name,type,sku,parent,has_options,prices_currency,variation_count,image_count,short_desc_len,desc_len,permalink
7887,singing-bowl-with-7-chakra-healing-from-sound-therapy,Handcrafted Set of 7 Bowls for Sound Therapy,variable,,0,True,INR,6,8,942,0,https://sarveda.com/store/sound-musical-instruments/singing-bowls-bells/singing-bowl-with-7-chakra-healing-from-sound-therapy/
7687,7-chakras-mystical-incense-sticks-set,7 Chakras Mystical Incense Sticks Set,variable,,0,True,INR,9,20,1131,0,https://sarveda.com/store/yoga-and-meditation/yoga-mats-props/7-chakras-mystical-incense-sticks-set/
7661,kalimba-made-from-coconut-shell-painted-7-key,7-Key Kalimba Made from Coconut Shell &#8211; Painted &#038; Plain,variable,,0,True,INR,2,18,815,0,https://sarveda.com/store/sound-musical-instruments/kids/kalimba-made-from-coconut-shell-painted-7-key/
7607,full-moon-singing-bowls,Full Moon Singing Bowls &#8211; All Sizes,variable,,0,True,INR,9,13,561,110,https://sarveda.com/store/sound-musical-instruments/singing-bowls-bells/full-moon-singing-bowls/
7568,macrame-yoga-straps,Macrame Yoga Mat Straps,variable,,0,True,INR,4,9,471,0,https://sarveda.com/store/yoga-and-meditation/meditation-cushions-benches/macrame-yoga-straps/
7542,wooden-maracas-shaker-handheld-shaker,Wooden Maracas Shakers | Plain &#038; Dot Painted,variable,MI-WM,0,True,INR,2,9,549,0,https://sarveda.com/store/sound-musical-instruments/rattles-shakers/wooden-maracas-shaker-handheld-shaker/
7491,6-3-inches-mini-tongue-drum,Mini Tongue Drum,variable,,0,True,INR,4,12,770,0,https://sarveda.com/store/sound-musical-instruments/handpans-tongue-drum/6-3-inches-mini-tongue-drum/
7478,wooden-tambourine-half-moon-2,Wooden Tambourines,variable,MI-T-HM,0,True,INR,2,9,620,609,https://sarveda.com/store/sound-musical-instruments/kids/wooden-tambourine-half-moon-2/
7472,handheld-kenari-seed-shell-shaker,Kenari Seed Shell Shakers,variable,,0,True,INR,2,14,512,0,https://sarveda.com/store/sound-musical-instruments/rattles-shakers/handheld-kenari-seed-shell-shaker/
7456,musical-wooden-frog,Musical Wooden Frog,variable,MI-WF,0,True,INR,2,6,499,0,https://sarveda.com/store/sound-musical-instruments/wind/musical-wooden-frog/
7443,mini-teak-wood-and-stainless-steel-xylophone,Teak Wood &#8211; Stainless Steel Xylophone,variable,MI-XP-W-8,0,True,INR,2,9,987,0,https://sarveda.com/store/sound-musical-instruments/handpans-tongue-drum/mini-teak-wood-and-stainless-steel-xylophone/
7435,natural-bamboo-xylophone-with-5-keys,Natural Bamboo Xylophone with 5 Keys,simple,MI-XP-B-5,0,False,INR,0,8,923,0,https://sarveda.com/store/sound-musical-instruments/handpans-tongue-drum/natural-bamboo-xylophone-with-5-keys/
7417,den-den-daiko-or-spin-twist-drum,Spin/Twist Drum or Den Den Daiko,variable,,0,True,INR,2,1,700,0,https://sarveda.com/store/sound-musical-instruments/kids/den-den-daiko-or-spin-twist-drum/
7404,artistic-egg-shakers,Painted Egg Shakers,variable,,0,True,INR,3,11,344,0,https://sarveda.com/store/sound-musical-instruments/rattles-shakers/artistic-egg-shakers/
7396,egg-shaker-with-handle,Egg Shaker with Handle,simple,MI-ES-H,0,False,INR,0,9,867,0,https://sarveda.com/store/sound-musical-instruments/rattles-shakers/egg-shaker-with-handle/
7370,wooden-maracas-shaker,Coconut Maracas Shakers,variable,MI-CM,0,True,INR,2,9,506,35,https://sarveda.com/store/sound-musical-instruments/kids/wooden-maracas-shaker/
7356,pangi-seed-shell-shaker-rattle,Pangi Seed Shell Rattle,simple,MI-PS,0,False,INR,0,5,534,0,https://sarveda.com/store/sound-musical-instruments/tuning-forks/pangi-seed-shell-shaker-rattle/
7329,bamboo-castanet,Bamboo Castanet,simple,MI-CN-B,0,False,INR,0,8,513,0,https://sarveda.com/store/sound-musical-instruments/kids/bamboo-castanet/
7324,spiral-snake-didgeridoo,Spiral/Snake Didgeridoo,variable,,0,True,INR,2,4,1195,0,https://sarveda.com/store/sound-musical-instruments/wind/spiral-snake-didgeridoo/
7317,thunder-tube,Thunder Tube &#8211; Basic Edition,variable,MI-TT-20,0,True,INR,3,10,883,0,https://sarveda.com/store/sound-musical-instruments/kids/thunder-tube/
7307,s-shaped-didgeridoo,S-Shaped Didgeridoo,variable,,0,True,INR,3,6,563,0,https://sarveda.com/store/sound-musical-instruments/wind/s-shaped-didgeridoo/
7300,aslatau-or-asalato,Asalato/Aslatau or Kashaka Shaker,variable,MI-AS,0,True,INR,4,10,1033,0,https://sarveda.com/store/sound-musical-instruments/kids/aslatau-or-asalato/
7293,shamanic-drums,Shamanic Drum,variable,MI-SD-B,0,True,INR,9,17,753,0,https://sarveda.com/store/sound-musical-instruments/percussion/shamanic-drums/
7177,sarveda-zafu-zabuton-meditation-cushion-combo,Zafu &#038; Zabuton Meditation Cushion Combo,variable,,0,True,INR,5,15,697,697,https://sarveda.com/store/yoga-and-meditation/meditation-cushions-benches/sarveda-zafu-zabuton-meditation-cushion-combo/
6988,singing-bowl-silk-ring-cushions-accessories,Singing Bowls Silk Ring Cushion Accessories,variable,,0,True,INR,66,13,340,0,https://sarveda.com/store/sound-musical-instruments/singing-bowls-bells/singing-bowl-silk-ring-cushions-accessories/
6978,wooden-mallets-for-singing-bowls,Wooden Mallets for Singing Bowls,variable,MI-SB-M-R-Wd-4.5,0,True,INR,17,30,516,0,https://sarveda.com/store/sound-musical-instruments/singing-bowls-bells/wooden-mallets-for-singing-bowls/
6973,sarveda-buddhist-bell,Tibetan Buddhist Bell,variable,,0,True,INR,4,3,609,0,https://sarveda.com/store/sound-musical-instruments/singing-bowls-bells/sarveda-buddhist-bell/
6892,hand-hammered-singing-bowl,Dotted Singing Bowl,variable,,0,True,INR,3,1,0,0,https://sarveda.com/store/sound-musical-instruments/singing-bowls-bells/hand-hammered-singing-bowl/
6884,handmade-singing-bowls-for-sound-therapy,Handmade Singing Bowls &#8211; All Sizes,variable,,0,True,INR,18,1,0,0,https://sarveda.com/store/sound-musical-instruments/singing-bowls-bells/handmade-singing-bowls-for-sound-therapy/
6861,singing-bowl-with-mantra-rustic-blue-color,Singing Bowl with Mantra &#8211; Rustic Blue Colour,variable,,0,True,INR,2,1,610,0,https://sarveda.com/store/sound-musical-instruments/singing-bowls-bells/singing-bowl-with-mantra-rustic-blue-color/
6807,singing-bowls-with-sacred-mantra-printed,Singing Bowls with Sacred Mantra Printed,variable,,0,True,INR,15,1,610,0,https://sarveda.com/store/sound-musical-instruments/singing-bowls-bells/singing-bowls-with-sacred-mantra-printed/
6780,sarveda-zabuton-cushion,Zabuton Cushion for Meditation,variable,,0,True,INR,5,17,854,854,https://sarveda.com/store/yoga-and-meditation/meditation-cushions-benches/sarveda-zabuton-cushion/
6755,sarveda-zafu-cylindrical-meditation-cushion,Hi-Zafu Meditation Cushion &#8211; Filled with Buckwheat,variable,,0,True,INR,12,26,857,857,https://sarveda.com/store/yoga-and-meditation/meditation-cushions-benches/sarveda-zafu-cylindrical-meditation-cushion/
6711,sarveda-zafu-round,Zafu Meditation Cushion Plain Filled with Cotton,variable,,0,True,INR,10,20,848,848,https://sarveda.com/store/yoga-and-meditation/meditation-cushions-benches/sarveda-zafu-round/
6689,yoga-bolster,Round Yoga Bolster,variable,,0,True,INR,8,15,495,0,https://sarveda.com/store/yoga-and-meditation/meditation-cushions-benches/yoga-bolster/
